,Nom,Poste,Stats,Equipe,Age,Taille (m),Poids (kg),ID_equipes
13,Sven D'Hooghe,No. 8,"['Mar 6, 1997', '2.01m', '110kg']",Biarritz Olympique PB,28,2.01,110,15
14,Masivesi Dakuwaqa,Outside Centre,"['Feb 14, 1994', '1.89m', '122kg']",Biarritz Olympique PB,31,1.89,122,15
15,Yann David,Outside Centre,"['Apr 15, 1988', '1.83m', '108kg']",Biarritz Olympique PB,37,1.83,108,15
16,Thomas Dolhagaray,Fly Half,"['May 21, 2000', '1.82m', '83kg']",Biarritz Olympique PB,25,1.82,83,15
17,Levi Douglas,No 4 Lock,"['Sep 1, 1995', '1.95m', '123kg']",Biarritz Olympique PB,30,1.95,123,15
18,Cornell du Preez,No. 8,"['Mar 23, 1991', '1.92m', '108kg']",Biarritz Olympique PB,34,1.92,108,15
19,Johnny Dyer,Blindside Flanker,"['Feb 6, 1992', '1.90m', '112kg']",Biarritz Olympique PB,33,1.90,112,15
20,Giorgi Dzmanashvili,Tighthead Prop,"['Jun 16, 2002', '1.86m', '122kg']",Biarritz Olympique PB,23,1.86,122,15
21,Zakaria El Fakir,Tighthead Prop,"['Jan 29, 1997', '1.80m', '112kg']",Biarritz Olympique PB,28,1.80,112,15
22,Antoine Erbani,Blindside Flanker,"['Feb 7, 1990', '1.92m', '106kg']",Biarritz Olympique PB,35,1.92,106,15
23,Piula Fa'asalele,No 5 Lock,"['Jan 22, 1988', '1.96m', '120kg']",Biarritz Olympique PB,37,1.96,120,15
24,Baptiste Fariscot,Fullback,"['Nov 15, 2001', '1.81m', '76kg']",Biarritz Olympique PB,24,1.81,76,15
25,Bastien Guillemin,Fullback,"['Sep 12, 1997', '1.85m', '90kg']",Biarritz Olympique PB,28,1.85,90,15
26,Thomas Hebert,Blindside Flanker,"['Feb 18, 2000', '1.78m', '92kg']",Biarritz Olympique PB,25,1.78,92,15
27,Aitor Hourcade,No. 8,"['Feb 13, 2001', '1.90m', '103kg']",Biarritz Olympique PB,24,1.90,103,15
28,Ekain Imaz,Loosehead Prop,"['Dec 7, 2002', '1.85m', '90kg']",Biarritz Olympique PB,23,1.85,90,15
29,Kylian Jaminet,Fly Half,"['Dec 28, 1995', '1.91m', '96kg']",Biarritz Olympique PB,30,1.91,96,15
30,Jessy Jegerlhener,Blindside Flanker,"['May 27, 1997', '1.90m', '97kg']",Biarritz Olympique PB,28,1.90,97,15
31,Jonathan Joseph,Outside Centre,"['May 21, 1991', '1.83m', '91kg']",Biarritz Olympique PB,34,1.83,91,15
32,Zach Kibirige,Left Wing,"['Oct 28, 1994', '1.79m', '83kg']",Biarritz Olympique PB,31,1.79,83,15
33,Mehdi Kourdes,Hooker,"['Mar 9, 2001', '1.92m', '141kg']",Biarritz Olympique PB,24,1.92,141,15
34,Tevita Kuridrani,Outside Centre,"['Mar 31, 1991', '1.92m', '102kg']",Biarritz Olympique PB,34,1.92,102,15
36,Brendan Lebrun,Hooker,"['Jan 22, 1998', '1.81m', '110kg']",Biarritz Olympique PB,27,1.81,110,15
37,Nafitalai Maafu,Openside Flanker,"['Jun 18, 1998', '2.01m', '110kg']",Biarritz Olympique PB,27,2.01,110,15
38,Clément Martinez,Hooker,"['Mar 14, 1996', '1.81m', '100kg']",Biarritz Olympique PB,29,1.81,100,15
40,Charlie Matthews,No 4 Lock,"['Jul 23, 1992', '2.01m', '120kg']",Biarritz Olympique PB,33,2.01,120,15
41,Robin McClintock,Outside Centre,"['Feb 1, 2002', '1.81m', '86kg']",Biarritz Olympique PB,23,1.81,86,15
43,Tyler Morgan,Outside Centre,"['Sep 11, 1995', '1.86m', '104kg']",Biarritz Olympique PB,30,1.86,104,15
44,Adrian Motoc,No 5 Lock,"['Jul 11, 1996', '1.97m', '114kg']",Biarritz Olympique PB,29,1.97,114,15
47,Giorgi Nutsubidze,Loosehead Prop,"['Nov 11, 1998', '1.78m', '116kg']",Biarritz Olympique PB,27,1.78,116,15
48,Pierre Pages,Scrum Half,"['May 16, 1990', '1.80m', '78kg']",Biarritz Olympique PB,35,1.80,78,15
49,Ilian Perraux,Fly Half,"['Apr 4, 1992', '1.83m', '88kg']",Biarritz Olympique PB,33,1.83,88,15
50,Alexandre Plantier,Left Wing,"['Dec 19, 1991', '1.80m', '110kg']",Biarritz Olympique PB,34,1.80,110,15
51,Brieuc Plessis-Couillaud,Outside Centre,"['Mar 19, 1994', '1.80m', '93kg']",Biarritz Olympique PB,31,1.80,93,15
52,Edgar Retiere,Fly Half,"['Jan 29, 2001', '1.75m', '81kg']",Biarritz Olympique PB,24,1.75,81,15
54,Enzo Selponi,Fly Half,"['Jun 16, 1993', '1.85m', '85kg']",Biarritz Olympique PB,32,1.85,85,15
55,Nodari Shengelia,Tighthead Prop,"['Aug 11, 2002', '1.92m', '127kg']",Biarritz Olympique PB,23,1.92,127,15
57,Killian Taofifenua,Hooker,"['Jul 20, 2000', '1.78m', '103kg']",Biarritz Olympique PB,25,1.78,103,15
58,Filimo Taofifenua,Blindside Flanker,"['Oct 15, 1993', '1.88m', '100kg']",Biarritz Olympique PB,32,1.88,100,15
60,Luka Tchelidze,Tighthead Prop,"['Aug 1, 2000', '1.81m', '130kg']",Biarritz Olympique PB,25,1.81,130,15
61,Luteru Tolai,Hooker,"['Jun 1, 1998', '1.79m', '119kg']",Biarritz Olympique PB,27,1.79,119,15
63,Solomone Tukuafu,Tighthead Prop,"['Sep 13, 1996', '1.86m', '132kg']",Biarritz Olympique PB,29,1.86,132,15
66,Francois Vergnaud,Inside Centre,"['Oct 8, 1997', '1.90m', '103kg']",Biarritz Olympique PB,28,1.90,103,15
